address,address2,almond,beverageonly,city,co_brander_cd,combostore,country,county,dma_cd,drivein,dunkincardenabled,faxnumber,fri_hours,k_cup,lat,lng,loyalty,mobile,mon_hours,phonenumber,postal,recordid,sat_hours,sitetype,statename,sun_hours,thu_hours,tue_hours,turbooven,wed_hours,wireless
2420 Piedmont Ave,,,N,Atlanta,,N,US,Fulton,524,Y,Y,--,24HOURS,Y,33.82223,-84.36753,Y,Y,24HOURS,--,30324,350824,24HOURS,FS,GA,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
2827 N. Druid Hills Rd NE,,,N,Atlanta,,N,US,Dekalb,524,N,Y,404-634-5825,24HOURS,Y,33.817936,-84.312622,Y,Y,24HOURS,404-634-9785,30329,302848,24HOURS,FS,GA,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
2704 Candler Rd,,,N,Decatur,,Y,US,DEKALB,524,Y,Y,--,24HOURS,Y,33.710625,-84.271511,Y,Y,24HOURS,404-241-8226,30034,302116,24HOURS,FS,GA,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
4040 Peachtree Rd NE,,,N,Atlanta,,N,US,Dekalb,524,Y,Y,--,24HOURS,Y,33.860773,-84.340234,Y,Y,24HOURS,404-869-9244,30319,306008,24HOURS,FS,GA,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
4928 S Cobb Dr SE,,,N,Smyrna,,N,US,Cobb,524,Y,Y,--,05:00-22:00,Y,33.83069,-84.4926,Y,Y,05:00-22:00,770-433-8033,30080,351171,05:00-22:00,FS,GA,05:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
6000 N Terminal Pkwy,ATL,,N,Atlanta,,N,US,Fulton,524,N,N,--,05:00-23:00,,33.642549,-84.440783,,N,05:00-23:00,404-761-1535,30320,348469,05:00-23:00,AI,GA,05:00-23:00,05:00-23:00,05:00-23:00,N,05:00-23:00,E
4760 Memorial Dr,,,N,Decatur,,Y,US,Dekalb,524,Y,Y,404-292-1374,24HOURS,Y,33.78591,-84.23479,Y,Y,24HOURS,404-292-6111,30032,302060,24HOURS,FS,GA,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
3935 Lavista Rd,,,N,Tucker,BRD,N,US,DEKALB,524,N,Y,770-414-5435,05:00-22:00,Y,33.844569,-84.256506,Y,Y,05:00-22:00,770-934-3359,30084,304033,05:00-22:00,FS,GA,05:00-21:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
5626 Fulton Industrial Blvd,Suite 100,,N,Atlanta,,N,US,Clayton,524,Y,Y,770-774-0319,05:00-22:00,Y,33.732602,-84.567679,Y,Y,05:00-22:00,404-344-4157,30336,346880,06:00-20:00,EC,GA,06:00-20:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
2555 Wesley Chapel Rd,Suite 1,,N,Decatur,,N,US,Dekalb,524,Y,Y,--,24HOURS,Y,33.713849,-84.216974,Y,Y,24HOURS,--,30035,352171,24HOURS,SC,GA,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
2651 Cobb Pky NW,,,N,Atlanta,STD,Y,US,Cobb,524,N,Y,770-569-2880,05:00-00:00,Y,33.888226,-84.473489,Y,Y,05:00-23:00,770-952-2009,30339,302140,05:00-00:00,FS,GA,06:00-23:00,05:00-23:00,05:00-23:00,Y,05:00-23:00,Y
2022 Powers Ferry Rd,Suite 100,,N,Atlanta,,N,US,Cobb,524,Y,Y,770-971-1714,05:00-22:00,Y,33.90201,-84.454536,Y,Y,05:00-22:00,770-859-2954,30339,347022,05:00-22:00,EC,GA,05:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,N
5663 Jonesboro Rd,,,N,Lake City,,Y,US,CLAYTON,524,Y,Y,770-961-4601,24HOURS,Y,33.600557,-84.339628,Y,Y,24HOURS,770-961-4701,30260,336991,24HOURS,FS,GA,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
5558 Peachtree Industrial Blvd,,,N,Chamblee,BRD,Y,US,Dekalb,524,Y,Y,770-454-1574,24HOURS,Y,33.899518,-84.301501,Y,Y,24HOURS,770-454-1574,30341,330524,24HOURS,FS,GA,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
6060 Roswell Rd NE,,,N,Sandy Springs,,N,US,Fulton,524,Y,Y,--,05:00-22:00,Y,33.920194,-84.379311,Y,Y,05:00-22:00,404-257-1518,30328,300577,05:00-22:00,FS,GA,05:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
3300 S. Cobb Dr,,,N,Smyrna,,N,US,Cobb,524,Y,Y,770-436-2711,05:00-22:00,Y,33.873661,-84.531011,Y,Y,05:00-22:00,770-436-6350,30080,302925,05:00-22:00,FS,GA,05:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
2340 Windy Hill Rd SE,,,N,Marietta,,N,US,Cobb,524,Y,Y,--,05:00-22:00,Y,33.903162,-84.484697,Y,Y,05:00-22:00,--,30067,351894,05:00-22:00,FS,GA,05:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,N
6060 Old National Hwy,,,N,Atlanta,,N,US,Fulton,524,Y,Y,--,05:00-22:00,Y,33.5898,-84.46867,Y,Y,05:00-22:00,770-909-1222,30349,350439,05:00-22:00,FS,GA,05:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
6622 Tara Blvd,,,N,Jonesboro,,N,US,Clayton,524,Y,Y,678-922-2258,24HOURS,Y,33.5737,-84.371197,Y,Y,24HOURS,770-968-7306,30236,330026,24HOURS,FS,GA,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
3068 Panola Rd,Ste 1,,N,Lithonia,,N,US,Dekalb,524,Y,Y,678-987-7817,24HOURS,Y,33.697391,-84.172636,Y,Y,24HOURS,770-987-7817,30038,350148,24HOURS,EC,GA,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
7087 Highway 85,,,N,Riverdale,,Y,US,Clayton,524,Y,Y,770-504-5506,05:00-23:00,Y,33.561567,-84.414363,Y,Y,05:00-23:00,770-909-0011,30274,347710,05:00-23:00,EC,GA,06:00-22:00,05:00-23:00,05:00-23:00,Y,05:00-23:00,Y
1594 Mount Vernon Rd,,,N,Dunwoody,,N,US,Fulton,524,Y,Y,678-320-0263,04:00-22:00,Y,33.946042,-84.334766,Y,Y,04:00-22:00,678-587-9895,30338,304875,04:00-22:00,EC,GA,04:00-22:00,04:00-22:00,04:00-22:00,Y,04:00-22:00,Y
611 Johnson Ferry Rd,,,N,Marietta,,N,US,Cobb,524,N,Y,770-971-1714,05:00-22:00,Y,33.96376,-84.41222,Y,Y,05:00-22:00,770-971-1710,30068,347021,05:00-22:00,FS,GA,05:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
5345 Jimmy Carter Blvd,,,N,Norcross,,N,US,GWINNETT,524,Y,Y,770-449-4443,05:00-22:00,Y,33.904044,-84.205475,Y,Y,05:00-22:00,770-449-4442,30093,302227,05:00-22:00,FS,GA,06:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
4760 Jonesboro Rd,,,N,Union City,,Y,US,Fulton,524,Y,Y,404-324-3469,05:00-23:00,Y,33.56868,-84.54003,Y,Y,05:00-22:00,770-969-9181,30291,350788,05:00-23:00,EC,GA,06:00-23:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
670 S Marietta Pkwy,,,N,Marietta,,Y,US,Cobb,524,Y,Y,770-422-1263,24HOURS,Y,33.942991,-84.533261,Y,Y,24HOURS,770-423-5947,30060,307688,24HOURS,FS,GA,24HOURS,24HOURS,24HOURS,Y,24HOURS,N
8290 Roswell Rd,Suite D,,N,Atlanta,,N,US,Fulton,524,Y,Y,678-320-0263,05:00-22:00,Y,33.981194,-84.350678,Y,Y,05:00-22:00,770-641-9581,30350,301667,05:00-22:00,FS,GA,05:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
5410 N Henry Blvd,,,N,Stockbridge,,N,US,HENRY,524,Y,Y,770-507-2108,04:00-22:00,Y,33.550106,-84.254677,Y,Y,04:00-22:00,770-507-1852,30281,302653,04:00-22:00,FS,GA,04:00-22:00,04:00-22:00,04:00-22:00,Y,04:00-22:00,Y
980 E Piedmont Rd,,,N,Marietta,,N,US,Cobb,524,Y,Y,770-971-8365,05:00-22:00,Y,33.97476,-84.479,Y,Y,05:00-22:00,770-971-8360,30062,348449,05:00-22:00,EC,GA,05:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,N
4009 Holcomb Bridge Rd,,,N,Norcross,,N,US,GWINNETT,524,Y,Y,--,05:00-22:00,Y,33.966676,-84.256351,Y,Y,05:00-22:00,770-242-4046,30092,304680,05:00-22:00,FS,GA,05:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
5161 Highway 78,,,N,Stone Mountain,,Y,US,Gwinnett,524,Y,Y,678-344-9935,24HOURS,Y,33.82433,-84.108575,Y,Y,24HOURS,678-344-9920,30087,302851,24HOURS,FS,GA,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
1300 Indian Trail Rd,Suite 201B,,N,Norcross,,N,US,Gwinnett,524,N,Y,770-279-0063,05:00-21:00,Y,33.91668,-84.16331,Y,Y,05:00-21:00,770-279-0062,30093,345539,05:00-21:00,EC,GA,06:00-21:00,05:00-21:00,05:00-21:00,Y,05:00-21:00,Y
7804 Senoia Rd,,,N,Fairburn,,N,US,Fulton,524,Y,Y,--,04:00-22:00,Y,33.543952,-84.576337,Y,Y,04:00-22:00,770-774-0318,30213,339735,04:00-22:00,FS,GA,06:00-22:00,04:00-22:00,04:00-22:00,Y,04:00-22:00,N
1590 Holcomb Bridge Rd,Suite 100,,N,Roswell,,N,US,Fulton,524,Y,Y,770-992-7950,05:00-22:00,Y,34.015635,-84.308733,Y,Y,05:00-22:00,770-992-7950,30076,345546,05:00-22:00,EC,GA,05:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
2475 Dallas Hwy SW,,,N,Marietta,,Y,US,Cobb,524,Y,Y,770-792-0492,05:00-22:00,Y,33.945772,-84.6232,Y,Y,05:00-22:00,770-792-6677,30064,310095,06:00-22:00,EC,GA,06:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
5075 Peachtree Pkwy,Suite 201,,N,Norcross,,Y,US,Gwinnett,524,Y,Y,404-292-1374,24HOURS,Y,33.984724,-84.213739,Y,Y,24HOURS,678-966-0909,30092,334708,24HOURS,FS,GA,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
2765 Sandy Plains Rd,,,N,Marietta,,Y,US,COBB,524,Y,Y,678-560-8731,05:00-23:00,Y,34.016724,-84.492849,Y,Y,05:00-22:00,770-977-2722,30066,304785,05:00-23:00,FS,GA,06:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
3935 Lawrenceville Hwy,,,N,Lilburn,BDT,Y,US,Gwinnett,524,Y,Y,770-921-6220,05:00-22:00,Y,33.906138,-84.112184,Y,Y,05:00-22:00,770-921-8669,30047,335411,06:00-22:00,FS,GA,06:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
775 Holcomb Bridge Rd,,,N,Roswell,,N,US,Fulton,524,Y,Y,--,05:00-22:00,Y,34.030783,-84.338936,Y,Y,05:00-22:00,770-993-5800,30076,302918,05:00-22:00,EC,GA,05:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,N
3725 Club Dr,,,N,Duluth,BRD,Y,US,Gwinnett,524,Y,Y,--,05:00-22:30,Y,33.942229,-84.127685,Y,Y,05:00-22:00,770-564-2783,30096,307881,06:00-22:30,EC,GA,06:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
2885 Canton Hwy,,,N,Marietta,,Y,US,COBB,524,Y,Y,678-560-8731,05:00-23:00,Y,34.021243,-84.528892,Y,Y,05:00-22:00,770-422-3375,30066,308655,05:00-23:00,FS,GA,05:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
1610 Ridenour Blvd NW,Suite 101,,N,Kennesaw,,N,US,Cobb,524,Y,Y,770-514-9096,05:00-21:00,Y,33.99486,-84.59122,Y,Y,05:00-21:00,770-514-9095,30152,345878,05:00-21:00,EC,GA,06:00-21:00,05:00-21:00,05:00-21:00,Y,05:00-21:00,Y
550 W. Crossville Rd,Suite 101,,N,Roswell,,N,US,Cherokee,524,Y,Y,770-594-5230,04:30-22:00,Y,34.055004,-84.377728,Y,Y,04:30-22:00,770-518-2648,30075,346155,04:30-22:00,EC,GA,04:30-22:00,04:30-22:00,04:30-22:00,Y,04:30-22:00,Y
129 N Glynn St,,,N,Fayetteville,,N,US,Fayette,524,Y,Y,--,05:00-22:00,Y,33.449192,-84.454983,Y,Y,05:00-22:00,770-461-1360,30214,304917,05:00-22:00,FS,GA,05:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,N
5980 State Bridge Rd,,,N,Duluth,,N,US,Fulton,524,Y,Y,--,05:00-22:00,Y,34.013417,-84.185354,Y,Y,05:00-22:00,678-957-8517,30097,346410,05:00-22:00,FS,GA,05:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
11286 Tara Blvd,,,N,Hampton,,Y,US,Henry,524,Y,Y,--,05:00-23:00,Y,33.447204,-84.323794,Y,Y,05:00-23:00,770-472-9906,30228,352036,05:00-23:00,FS,GA,05:00-23:00,05:00-23:00,05:00-23:00,Y,05:00-23:00,Y
9476 Highway 5,,,N,Douglasville,,N,US,Douglas,524,Y,Y,770-949-0806,04:00-00:00,Y,33.725019,-84.761547,Y,Y,04:00-22:00,770-949-3499,30135,302835,05:00-00:00,FS,GA,05:00-23:00,04:00-23:00,04:00-22:00,Y,04:00-22:00,Y
3435 Peachtree Industrial Blvd,,,N,Duluth,BDT,Y,US,Gwinnett,524,Y,Y,678-206-0585,05:00-23:00,Y,34.006894,-84.170442,Y,Y,05:00-23:00,678-206-0576,30096,302564,05:00-23:00,FS,GA,05:00-23:00,05:00-23:00,05:00-23:00,Y,05:00-23:00,Y
11706 Alpharetta Hwy,Suite 400,,N,Roswell,BRD,N,US,Fulton,524,Y,Y,678-205-2765,05:00-22:00,Y,34.065561,-84.320583,Y,Y,05:00-22:00,770-664-8817,30076,334774,05:00-22:00,EC,GA,05:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
741 Townpark Ln NW,,,N,Kennesaw,,Y,US,Cobb,524,Y,Y,770-420-2723,05:00-23:00,Y,34.035906,-84.572133,Y,Y,05:00-23:00,678-355-5518,30144,336381,05:00-23:00,FS,GA,06:00-23:00,05:00-23:00,05:00-23:00,Y,05:00-23:00,Y
2062 Highway 155 N,Valero,,N,McDonough,VAL,N,US,Henry,524,Y,Y,770-288-3906,04:30-22:00,Y,33.507242,-84.140434,Y,Y,04:30-22:00,678-583-6452,30252,351158,05:00-22:00,GC,GA,06:00-22:00,04:30-22:00,04:30-22:00,Y,04:30-22:00,N
3630 Old Milton Pkwy,Ste 100,,N,Alpharetta,BRD,N,US,Fulton,524,Y,Y,--,05:00-22:00,Y,34.065409,-84.254095,Y,Y,05:00-22:00,770-410-5891,30005,332379,05:00-22:00,EC,GA,05:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
4311 Bells Ferry Rd,Ste A,,N,Kennesaw,,N,US,Cobb,524,Y,Y,770-924-9275,05:00-21:00,Y,34.056117,-84.557548,Y,Y,05:00-21:00,770-926-3933,30144,310096,05:00-21:00,EC,GA,05:00-21:00,05:00-21:00,05:00-21:00,Y,05:00-21:00,Y
4470 Jimmy Lee Smith Pkwy,,,N,Hiram,BRD,N,US,Paulding,524,Y,Y,--,05:00-22:00,Y,33.890705,-84.754086,Y,Y,05:00-22:00,678-567-0630,30141,331517,05:00-22:00,EC,GA,06:00-21:30,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
1890 Highway 20 SE,,,N,Conyers,,Y,US,Dekalb,524,Y,Y,770-922-8888,05:00-00:00,Y,33.637452,-84.013921,Y,Y,05:00-23:00,770-922-8888,30013,344447,05:00-00:00,FS,GA,05:00-23:00,05:00-23:00,05:00-23:00,Y,05:00-23:00,Y
2115 E. Main St,Ste E,,N,Snellville,,N,US,Gwinnett,524,Y,Y,770-982-6220,05:00-22:00,Y,33.856185,-84.001885,Y,Y,05:00-22:00,678-344-3567,30078,331152,06:00-22:00,EC,GA,06:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
1942 Atkinson Rd,Ste 900,,N,Lawrenceville,,N,US,Gwinnett,524,Y,Y,--,05:00-23:00,Y,33.977536,-84.080089,Y,Y,05:00-22:00,770-339-0011,30043,351323,06:00-23:00,EC,GA,06:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
4943 Sugarloaf Pkwy,,,N,Lawrenceville,,N,US,Gwinnett,524,Y,Y,--,05:00-22:00,Y,33.956492,-84.056585,Y,Y,05:00-22:00,770-962-7455,30044,345213,06:00-22:00,EC,GA,06:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
4100 Jiles Rd NW,Ste 100,,N,Kennesaw,,N,US,Cobb,524,Y,Y,--,05:00-22:00,Y,34.047725,-84.61018,Y,Y,05:00-22:00,678-275-2187,30144,349401,05:00-22:00,EC,GA,05:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
4443 Wade Green Rd,,,N,Kennesaw,,N,US,Cobb,524,Y,Y,--,05:00-22:00,Y,34.059849,-84.592662,Y,Y,05:00-22:00,770-218-0909,30144,310097,05:00-22:00,EC,GA,05:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
9755 Hwy 92,,,N,Woodstock,,Y,US,CHEROKEE,524,Y,Y,--,05:00-22:00,Y,34.086839,-84.527956,Y,Y,05:00-22:00,770-926-7770,30188,336992,05:00-22:00,FS,GA,05:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
228 Peachtree E Shopping Ctr,,,N,Peachtree City,,N,US,Fayette,524,Y,Y,--,05:00-20:00,Y,33.424521,-84.557845,Y,Y,05:00-20:00,770-487-5070,30269,310098,05:00-20:00,EC,GA,05:00-20:00,05:00-20:00,05:00-20:00,Y,05:00-20:00,Y
845 Scenic Hwy,Bldg E,,N,Lawrenceville,,N,US,Gwinnett,524,Y,Y,--,05:00-22:00,Y,33.91828,-84.00037,Y,Y,05:00-22:00,470-545-4245,30046,349930,06:00-22:00,EC,GA,06:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
3139 Cobb Pkwy NW,Ste 100,,N,Kennesaw,,N,US,Cobb,524,Y,Y,--,04:00-22:00,Y,34.032908,-84.671541,Y,Y,04:00-22:00,770-974-9717,30152,349086,04:00-22:00,EC,GA,05:00-22:00,04:00-22:00,04:00-22:00,Y,04:00-22:00,Y
2280 Salem Rd SE,Ste 100,,N,Conyers,,Y,US,ROCKDALE,524,Y,Y,770-761-8793,05:00-22:30,Y,33.628584,-83.977786,Y,Y,05:00-22:30,770-761-9711,30013,330803,05:00-22:30,EC,GA,05:00-22:30,05:00-22:30,05:00-22:30,Y,05:00-22:30,Y
875 Towne Lake Parkway,Ste 130,,N,Woodstock,BDT,Y,US,CHEROKEE,524,Y,Y,--,05:00-22:00,Y,34.101845,-84.532994,Y,Y,05:00-22:00,770-928-2582,30188,336181,05:00-22:00,FS,GA,05:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
7810 McGinnis Ferry Rd,Ste 101,,N,Suwanee,,N,US,Forsyth,524,Y,Y,--,05:00-22:00,Y,34.05551,-84.12929,Y,Y,05:00-22:00,678-584-1805,30024,350852,05:00-22:00,EC,GA,06:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
1407 Hwy 20 W,Suite A,,N,McDonough,,N,US,Butts,524,Y,Y,--,05:00-20:00,Y,33.422687,-84.185356,Y,Y,05:00-20:00,770-957-5729,30253,344458,05:00-20:00,EC,GA,05:00-20:00,05:00-20:00,05:00-20:00,Y,05:00-20:00,Y
898 Highway 81 E,,,N,McDonough,,N,US,Henry,524,Y,Y,770-954-1147,05:00-22:00,Y,33.43836,-84.121496,Y,Y,05:00-22:00,770-892-0237,30252,352605,06:00-22:00,GC,GA,06:00-21:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
307 Highway 74 N,,,N,Peachtree City,,N,US,Fayette,524,Y,Y,--,05:00-21:00,Y,33.4085,-84.60126,Y,Y,05:00-21:00,678-489-4004,30269,349992,06:00-21:00,GC,GA,06:00-21:00,05:00-21:00,05:00-21:00,Y,05:00-21:00,Y
2855 Lawrenceville Suwanee Rd,,,N,Suwanee,,N,US,Gwinnett,524,Y,Y,--,05:00-22:00,Y,34.025859,-84.044329,Y,Y,05:00-22:00,770-932-7707,30024,310296,06:00-22:00,EC,GA,06:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
6020 Atlanta Hwy,,,N,Alpharetta,,N,US,Forsyth,524,Y,Y,678-393-5147,05:00-22:00,Y,34.13645,-84.248826,Y,Y,05:00-22:00,678-393-5146,30004,351179,05:00-22:00,FS,GA,05:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
938 Buford Dr,,,N,Lawrenceville,,N,US,Gwinnett,524,Y,Y,--,24HOURS,Y,33.987693,-83.984634,Y,Y,24HOURS,678-407-2111,30043,340436,24HOURS,FS,GA,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
2755 Highway 155,,,N,Locust Grove,,N,US,Henry,524,Y,Y,--,24HOURS,Y,33.364545,-84.178874,Y,Y,24HOURS,678-432-2235,30248,349997,24HOURS,GC,GA,24HOURS,24HOURS,24HOURS,Y,24HOURS,E
95 Liberty Rd,WilcoHess,,N,Villa Rica,WH,N,US,Douglas,524,N,N,770-456-9942,24HOURS,Y,33.722104,-84.902129,,N,24HOURS,770-456-9941,30180,347403,24HOURS,HE,GA,24HOURS,24HOURS,24HOURS,N,24HOURS,E
521 Peachtree Pkwy,,,N,Cumming,,N,US,Forsyth,524,Y,Y,470-239-7761,05:00-22:00,Y,34.15045,-84.17341,Y,Y,05:00-22:00,470-239-7718,30041,350745,05:00-22:00,FS,GA,05:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
4152 Atlanta Hwy,,,N,Loganville,,Y,US,GWINNETT,524,Y,Y,770-466-0662,05:00-23:00,Y,33.830497,-83.871586,Y,Y,05:00-22:00,770-466-6675,30052,338629,05:00-23:00,FS,GA,06:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
4841 Bill Gardner Pkwy,,,N,Locust Grove,VAL,N,US,Henry,524,Y,Y,770-898-2899,04:30-22:00,Y,33.35381,-84.12128,Y,Y,04:00-00:00,770-898-2052,30248,350953,05:00-22:00,GC,GA,06:00-22:00,04:30-22:00,04:00-00:00,Y,04:30-22:00,Y
4450K Nelson Blogden Blvd,,,N,Sugar Hill,BRD,Y,US,Gwinnett,524,Y,Y,--,05:00-22:00,Y,34.096567,-84.015265,Y,Y,05:00-22:00,770-271-4200,30518,332011,06:00-22:00,EC,GA,06:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
1010 Highway 34 E,,,N,Newnan,,N,US,Coweta,524,Y,Y,--,24HOURS,Y,33.397337,-84.745054,Y,Y,24HOURS,770-253-9690,30265,310298,24HOURS,EC,GA,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
3153 Highway 278 NE,Newton Plaza,,N,Covington,,Y,US,NEWTON,524,Y,Y,770-761-8793,05:30-23:00,Y,33.602945,-83.858217,Y,Y,05:30-23:00,678-342-6888,30014,362271,05:30-23:00,FS,GA,05:30-23:00,05:30-23:00,05:30-23:00,Y,05:30-23:00,Y
1165 Buford Hwy,,,N,Cumming,BRD,Y,US,Forsyth,524,Y,Y,770-205-9115,05:00-22:00,Y,34.174132,-84.127508,Y,Y,05:00-22:00,770-781-5805,30041,331009,05:30-22:00,FS,GA,05:30-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
1800 N Expressway,US 19,,N,Griffin,,Y,US,SPALDING,524,Y,Y,--,04:00-23:00,Y,33.284279,-84.290628,Y,Y,04:00-23:00,770-467-9534,30223,340398,04:00-23:00,FS,GA,04:00-23:00,04:00-23:00,04:00-23:00,Y,04:00-23:00,Y
101 Gentilly Blvd,,,N,Cartersville,,N,US,Bartow,524,Y,Y,770-382-0382,05:00-23:00,Y,34.1878,-84.78719,Y,Y,05:00-22:00,770-382-0382,30120,350736,05:00-23:00,FS,GA,06:00-22:00,05:00-23:00,05:00-22:00,Y,05:00-22:00,Y
