distance,distanceUnit,address,address2,almond,beverageonly,city,co_brander_cd,combostore,country,county,dma_cd,drivein,dunkincardenabled,dunkinrunenabled,faxnumber,fri_hours,geocodequality,k_cup,lat,lc,lng,loyalty,mobile,mon_hours,mqap_geography,mqap_id,mqap_quality,n,phonenumber,postal,recordid,sat_hours,sitetype,state,sun_hours,t,thu_hours,tue_hours,turbooven,website,wed_hours,wireless,key,name,resultNumber,shapePoints,sourceName
101.4,m,739 S Gammon Rd,Ste 100,,N,Madison,,N,US,Dane,669,Y,Y,,--,24HOURS,,Y,43.049415,33454002,-89.502947,Y,Y,24HOURS,"{u'latLng': {u'lat': 43.049415, u'lng': -89.502947}}",f34a9f9e-0505-4370-91b2-1e3cf19acb37,U1XXX,Dunkin Donuts,608-467-7705,53719,350610,24HOURS,EC,WI,24HOURS,,24HOURS,24HOURS,Y,https://www.dunkindonuts.com,24HOURS,Y,f34a9f9e-0505-4370-91b2-1e3cf19acb37,Dunkin Donuts,11,"[43.049415, -89.502947]",mqap.33454_DunkinDonuts
102.86,m,801 S Park St,,,N,Madison,,N,US,Dane,669,Y,Y,,--,04:00-01:00,,Y,43.058799,33454002,-89.400177,Y,Y,04:00-01:00,"{u'latLng': {u'lat': 43.058799, u'lng': -89.400177}}",8dd8099e-afed-4555-82a5-ae69e8b25026,U1XXX,Dunkin Donuts,608-819-6090,53715,350032,04:00-01:00,EC,WI,04:00-01:00,,04:00-01:00,04:00-01:00,Y,https://www.dunkindonuts.com,04:00-01:00,N,8dd8099e-afed-4555-82a5-ae69e8b25026,Dunkin Donuts,12,"[43.058799, -89.400177]",mqap.33454_DunkinDonuts
107.97,m,950 Main Ave,Suite A,,N,De Pere,,N,US,Brown,658,Y,Y,,--,05:00-22:00,,Y,44.451352,33454002,-88.085422,Y,Y,05:00-22:00,"{u'latLng': {u'lat': 44.451352, u'lng': -88.085422}}",ae65d7ab-5ade-4d9d-87bb-fbb7c62f9af8,U1XXX,Dunkin Donuts,920-632-4390,54115,352721,05:00-22:00,EC,WI,05:00-22:00,,05:00-22:00,05:00-22:00,Y,https://www.dunkindonuts.com,05:00-22:00,Y,ae65d7ab-5ade-4d9d-87bb-fbb7c62f9af8,Dunkin Donuts,13,"[44.451352, -88.085422]",mqap.33454_DunkinDonuts
112.35,m,15 1st Ave SW,Kahler Grand Hotel,,N,Rochester,,N,US,Olmsted,611,N,Y,,--,05:30-18:00,,Y,44.023011,33454002,-92.464657,Y,Y,05:30-19:00,"{u'latLng': {u'lat': 44.023011, u'lng': -92.464657}}",90bc1ef9-d7f8-45dd-9248-f8b83930fd03,U1XXX,Dunkin Donuts,507-285-2719,55902,352663,06:00-16:00,HT,MN,06:00-14:00,,05:30-19:00,05:30-19:00,Y,https://www.dunkindonuts.com,05:30-19:00,Y,90bc1ef9-d7f8-45dd-9248-f8b83930fd03,Dunkin Donuts,14,"[44.023011, -92.464657]",mqap.33454_DunkinDonuts
116.63,m,245 E Business Highway 151,Suite 100,,N,Platteville,,N,US,Grant,669,Y,Y,,--,05:00-23:00,,Y,42.727062,33454002,-90.475909,Y,Y,05:00-23:00,"{u'latLng': {u'lat': 42.727062, u'lng': -90.475909}}",b056ff1f-259f-4baa-ba17-c86945488d9e,U1XXX,Dunkin Donuts,608-348-8040,53818,350611,05:00-23:00,EC,WI,06:00-23:00,,05:00-23:00,05:00-23:00,Y,https://www.dunkindonuts.com,05:00-23:00,N,b056ff1f-259f-4baa-ba17-c86945488d9e,Dunkin Donuts,15,"[42.727062, -90.475909]",mqap.33454_DunkinDonuts
125.27,m,11180 Goede Rd,,,N,Edgerton,,Y,US,Rock,669,Y,Y,,608-884-0333,24HOURS,,Y,42.835759,33454002,-89.023825,Y,Y,24HOURS,"{u'latLng': {u'lat': 42.835759, u'lng': -89.023825}}",1b3780c7-15d4-47e4-aef0-3c8158d85e37,U1XXX,Dunkin Donuts,608-884-0333,53534,347346,24HOURS,GC,WI,24HOURS,,24HOURS,24HOURS,Y,https://www.dunkindonuts.com,24HOURS,Y,1b3780c7-15d4-47e4-aef0-3c8158d85e37,Dunkin Donuts,16,"[42.835759, -89.023825]",mqap.33454_DunkinDonuts
126.2,m,427 E Wisconsin Ave,,,N,Oconomowoc,,N,US,Waukesha,617,Y,Y,,--,05:00-21:00,,Y,43.109328,33454002,-88.494081,Y,Y,05:00-21:00,"{u'latLng': {u'lat': 43.109328, u'lng': -88.494081}}",8ca3092b-5b50-4bcb-ad37-8c339d354097,U1XXX,Dunkin Donuts,262-567-7273,53066,352642,05:00-21:00,FS,WI,05:00-21:00,,05:00-21:00,05:00-21:00,Y,https://www.dunkindonuts.com,05:00-21:00,Y,8ca3092b-5b50-4bcb-ad37-8c339d354097,Dunkin Donuts,17,"[43.109328, -88.494081]",mqap.33454_DunkinDonuts
133.47,m,2121 Milton Ave,,,N,Janesville,,N,US,Rock,669,Y,Y,,608-754-6466,24HOURS,,Y,42.708133,33454002,-89.004584,Y,Y,24HOURS,"{u'latLng': {u'lat': 42.708133, u'lng': -89.004584}}",c4682c9e-b4ea-4755-8a4f-04ccadc5537e,U1XXX,Dunkin Donuts,608-754-4054,53545,350431,24HOURS,EC,WI,24HOURS,,24HOURS,24HOURS,Y,https://www.dunkindonuts.com,24HOURS,Y,c4682c9e-b4ea-4755-8a4f-04ccadc5537e,Dunkin Donuts,18,"[42.708133, -89.004584]",mqap.33454_DunkinDonuts
134.24,m,2660 Dodge St,,,N,Dubuque,,N,US,Dubuque,637,Y,Y,,--,05:00-22:00,,Y,42.491067,33454002,-90.701805,Y,Y,05:00-22:00,"{u'latLng': {u'lat': 42.491067, u'lng': -90.701805}}",a7e00e5c-9d3f-4b06-b7c8-780f60a89e15,U1XXX,Dunkin Donuts,563-556-1228,52003,351575,05:00-22:00,FS,IA,05:00-22:00,,05:00-22:00,05:00-22:00,Y,https://www.dunkindonuts.com,05:00-22:00,Y,a7e00e5c-9d3f-4b06-b7c8-780f60a89e15,Dunkin Donuts,19,"[42.491067, -90.701805]",mqap.33454_DunkinDonuts
134.61,m,2832 S Business Dr,,,N,Sheboygan,,N,US,Sheboygan,617,Y,Y,,--,05:00-22:00,,Y,43.723822,33454002,-87.735521,Y,Y,05:00-22:00,"{u'latLng': {u'lat': 43.723822, u'lng': -87.735521}}",8162d7e5-b1cd-40a7-9b80-118b279452ea,U1XXX,Dunkin Donuts,920-783-6102,53081,351882,05:00-22:00,EC,WI,06:00-22:00,,05:00-22:00,05:00-22:00,Y,https://www.dunkindonuts.com,05:00-22:00,Y,8162d7e5-b1cd-40a7-9b80-118b279452ea,Dunkin Donuts,20,"[43.723822, -87.735521]",mqap.33454_DunkinDonuts
136.34,m,1905 Center Ave,,,N,Janesville,,Y,US,Rock,669,Y,Y,,608-754-6466,04:00-22:00,,Y,42.65118,33454002,-89.031073,Y,Y,04:00-22:00,"{u'latLng': {u'lat': 42.65118, u'lng': -89.031073}}",087bd80d-5b04-40e7-87a4-947c696da383,U1XXX,Dunkin Donuts,608-758-9937,53546,342377,04:00-22:00,EC,WI,04:00-22:00,,04:00-22:00,04:00-22:00,Y,https://www.dunkindonuts.com,04:00-22:00,Y,087bd80d-5b04-40e7-87a4-947c696da383,Dunkin Donuts,21,"[42.65118, -89.031073]",mqap.33454_DunkinDonuts
138.38,m,2450 N Grandview Blvd,,,N,Waukesha,,N,US,Waukesha,617,Y,Y,,--,05:00-22:00,,Y,43.034472,33454002,-88.255997,Y,Y,05:00-22:00,"{u'latLng': {u'lat': 43.034472, u'lng': -88.255997}}",7a56d38d-803f-4574-9d08-35509e9e09b2,U1XXX,Dunkin Donuts,262-524-0353,53188,350655,06:00-22:00,EC,WI,06:00-22:00,,05:00-22:00,05:00-22:00,Y,https://www.dunkindonuts.com,05:00-22:00,Y,7a56d38d-803f-4574-9d08-35509e9e09b2,Dunkin Donuts,22,"[43.034472, -88.255997]",mqap.33454_DunkinDonuts
140.2,m,N56W15560 Silver Spring Dr,Ste A,,N,Menomonee Falls,,N,US,Waukesha,617,Y,Y,,--,05:00-23:00,,Y,43.1178,33454002,-88.104653,Y,Y,05:00-23:00,"{u'latLng': {u'lat': 43.1178, u'lng': -88.104653}}",d30370f6-160c-4a6a-a722-2c614b6f042d,U1XXX,Dunkin Donuts,262-373-1799,53051,349839,05:00-23:00,EC,WI,05:00-23:00,,05:00-23:00,05:00-23:00,Y,https://www.dunkindonuts.com,05:00-23:00,Y,d30370f6-160c-4a6a-a722-2c614b6f042d,Dunkin Donuts,23,"[43.1178, -88.104653]",mqap.33454_DunkinDonuts
146.36,m,3500 S Moorland Rd,,,N,New Berlin,,N,US,Waukesha,617,Y,Y,,--,05:00-22:00,,Y,42.980868,33454002,-88.108208,Y,Y,05:00-22:00,"{u'latLng': {u'lat': 42.980868, u'lng': -88.108208}}",7dba0d96-6828-43df-aee6-49714c18c697,U1XXX,Dunkin Donuts,262-785-1305,53151,350091,05:00-22:00,EC,WI,05:00-22:00,,05:00-22:00,05:00-22:00,Y,https://www.dunkindonuts.com,05:00-22:00,Y,7dba0d96-6828-43df-aee6-49714c18c697,Dunkin Donuts,24,"[42.980868, -88.108208]",mqap.33454_DunkinDonuts
147.73,m,106 W Silver Spring Dr,Ste A,,N,Whitefish Bay,,N,US,Milwaukee,617,N,Y,,--,06:00-22:00,,Y,43.118668,33454002,-87.91191,Y,Y,06:00-22:00,"{u'latLng': {u'lat': 43.118668, u'lng': -87.91191}}",40202c33-065e-425f-b056-4daba70970f3,U1XXX,Dunkin Donuts,414-963-6332,53217,350170,06:00-22:00,EC,WI,06:00-22:00,,06:00-22:00,06:00-22:00,Y,https://www.dunkindonuts.com,06:00-22:00,Y,40202c33-065e-425f-b056-4daba70970f3,Dunkin Donuts,25,"[43.118668, -87.91191]",mqap.33454_DunkinDonuts
148.12,m,2865 S 108th St,,,N,West Allis,,N,US,Milwaukee,617,Y,Y,,--,05:00-22:00,,Y,42.991848,33454002,-88.047258,Y,Y,05:00-22:00,"{u'latLng': {u'lat': 42.991848, u'lng': -88.047258}}",432c084d-7a4f-45e6-a01f-42aece067968,U1XXX,Dunkin Donuts,414-321-8268,53227,350984,05:00-22:00,FS,WI,05:00-22:00,,05:00-22:00,05:00-22:00,Y,https://www.dunkindonuts.com,05:00-22:00,Y,432c084d-7a4f-45e6-a01f-42aece067968,Dunkin Donuts,26,"[42.991848, -88.047258]",mqap.33454_DunkinDonuts
150.28,m,5480 S 108th St,,,N,Hales Corners,,N,US,Milwaukee,617,N,Y,,--,05:00-22:00,,Y,42.944813,33454002,-88.048205,Y,Y,05:00-22:00,"{u'latLng': {u'lat': 42.944813, u'lng': -88.048205}}",86c9833d-df55-4e30-ab1d-6b4ce81796f1,U1XXX,Dunkin Donuts,414-525-0115,53130,351364,05:00-22:00,FS,WI,05:00-22:00,,05:00-22:00,05:00-22:00,Y,https://www.dunkindonuts.com,05:00-22:00,Y,86c9833d-df55-4e30-ab1d-6b4ce81796f1,Dunkin Donuts,27,"[42.944813, -88.048205]",mqap.33454_DunkinDonuts
150.46,m,2068 Miller Park Way,,,N,West Milwaukee,,N,US,Milwaukee,617,Y,Y,,--,05:00-22:00,,Y,43.006747,33454002,-87.967528,Y,Y,05:00-22:00,"{u'latLng': {u'lat': 43.006747, u'lng': -87.967528}}",46d41744-6e69-492b-8cc4-1323de946e7c,U1XXX,Dunkin Donuts,414-384-8532,53219,349917,05:00-22:00,EC,WI,05:00-22:00,,05:00-22:00,05:00-22:00,Y,https://www.dunkindonuts.com,05:00-22:00,Y,46d41744-6e69-492b-8cc4-1323de946e7c,Dunkin Donuts,28,"[43.006747, -87.967528]",mqap.33454_DunkinDonuts
150.85,m,622 W Wisconsin Ave,,,N,Milwaukee,,N,US,Milwaukee,617,N,Y,,414-271-4944,24HOURS,,Y,43.03874,33454002,-87.920507,Y,Y,24HOURS,"{u'latLng': {u'lat': 43.03874, u'lng': -87.920507}}",44ebe336-d67b-41d5-b48f-1b95c0acc500,U1XXX,Dunkin Donuts,414-349-3300,53203,349089,24HOURS,SE,WI,24HOURS,,24HOURS,24HOURS,Y,https://www.dunkindonuts.com,24HOURS,Y,44ebe336-d67b-41d5-b48f-1b95c0acc500,Dunkin Donuts,29,"[43.03874, -87.920507]",mqap.33454_DunkinDonuts
151.32,m,111 E Wisconsin Ave,,,N,Milwaukee,,N,US,Milwaukee,617,N,Y,,--,07:00-19:00,,Y,43.038141,33454002,-87.909158,Y,Y,07:00-19:00,"{u'latLng': {u'lat': 43.038141, u'lng': -87.909158}}",d7b824bf-33bb-4149-bd7a-2059316db1aa,U1XXX,Dunkin Donuts,414-224-7924,53202,351918,07:00-19:00,SE,WI,07:00-19:00,,07:00-19:00,07:00-19:00,Y,https://www.dunkindonuts.com,07:00-19:00,Y,d7b824bf-33bb-4149-bd7a-2059316db1aa,Dunkin Donuts,30,"[43.038141, -87.909158]",mqap.33454_DunkinDonuts
153.26,m,4550 S 27th St,Suite A,,N,Milwaukee,,N,US,Milwaukee,617,Y,Y,,--,05:00-22:00,,Y,42.961096,33454002,-87.948451,Y,Y,05:00-22:00,"{u'latLng': {u'lat': 42.961096, u'lng': -87.948451}}",7b9792ae-07da-4264-a2e9-b4b2dd20cfe7,U1XXX,Dunkin Donuts,414-281-4766,53221,352162,05:00-22:00,EC,WI,06:00-22:00,,05:00-22:00,05:00-22:00,Y,https://www.dunkindonuts.com,05:00-22:00,Y,7b9792ae-07da-4264-a2e9-b4b2dd20cfe7,Dunkin Donuts,31,"[42.961096, -87.948451]",mqap.33454_DunkinDonuts
154.77,m,151 W Layton Ave,,,N,Milwaukee,,N,US,MILWAUKEE,617,N,Y,,--,24HOURS,,Y,42.958792,33454002,-87.911708,Y,Y,24HOURS,"{u'latLng': {u'lat': 42.958792, u'lng': -87.911708}}",ba73d2be-1c3d-4296-9565-b87120430737,U1XXX,Dunkin Donuts,414-747-9140,53207,300605,24HOURS,FS,WI,24HOURS,,24HOURS,24HOURS,Y,https://www.dunkindonuts.com,24HOURS,Y,ba73d2be-1c3d-4296-9565-b87120430737,Dunkin Donuts,32,"[42.958792, -87.911708]",mqap.33454_DunkinDonuts
157.47,m,2345 W Ryan Rd,Ste A,,N,Oak Creek,,N,US,Milwaukee,617,Y,Y,,--,05:00-22:00,,Y,42.87216,33454002,-87.94658,Y,Y,05:00-22:00,"{u'latLng': {u'lat': 42.87216, u'lng': -87.94658}}",3e4b0507-f31f-4819-80dc-63cf74ab4a2c,U1XXX,Dunkin Donuts,414-761-5051,53154,349936,05:00-22:00,EC,WI,05:00-22:00,,05:00-22:00,05:00-22:00,Y,https://www.dunkindonuts.com,05:00-22:00,Y,3e4b0507-f31f-4819-80dc-63cf74ab4a2c,Dunkin Donuts,33,"[42.87216, -87.94658]",mqap.33454_DunkinDonuts
159.19,m,3103 South Chicago Ave,,,N,South Milwaukee,,N,US,Milwaukee,617,Y,Y,,--,05:00-21:00,,Y,42.90054,33454002,-87.865246,Y,Y,05:00-21:00,"{u'latLng': {u'lat': 42.90054, u'lng': -87.865246}}",97e2f7d3-00be-455b-829e-4d0c29cb1096,U1XXX,Dunkin Donuts,414-570-2111,53172,351994,05:00-21:00,FS,WI,05:00-20:00,,05:00-21:00,05:00-21:00,Y,https://www.dunkindonuts.com,05:00-21:00,Y,97e2f7d3-00be-455b-829e-4d0c29cb1096,Dunkin Donuts,34,"[42.90054, -87.865246]",mqap.33454_DunkinDonuts
168.16,m,6026 Washington Ave,,,N,Racine,,Y,US,RACINE,617,Y,Y,,847-559-9872,24HOURS,,Y,42.71965,33454002,-87.854199,Y,Y,24HOURS,"{u'latLng': {u'lat': 42.71965, u'lng': -87.854199}}",802345d0-4a55-40c2-baaf-0808e1e20a5d,U1XXX,Dunkin Donuts,262-884-0404,53406,341519,24HOURS,FS,WI,24HOURS,,24HOURS,24HOURS,Y,https://www.dunkindonuts.com,24HOURS,E,802345d0-4a55-40c2-baaf-0808e1e20a5d,Dunkin Donuts,35,"[42.71965, -87.854199]",mqap.33454_DunkinDonuts
171.71,m,335 S. Eastwood Dr,,Y,N,Woodstock,,Y,US,Mchenry,602,Y,Y,,815-338-9349,04:00-23:00,,Y,42.312285,33454002,-88.433884,Y,Y,04:00-22:00,"{u'latLng': {u'lat': 42.312285, u'lng': -88.433884}}",82b0f813-f098-4079-9b23-6b8134b4c117,U1XXX,Dunkin Donuts,815-338-9499,60098,340391,04:00-23:00,EC,IL,04:00-22:00,,04:00-22:00,04:00-22:00,Y,https://www.dunkindonuts.com,04:00-22:00,Y,82b0f813-f098-4079-9b23-6b8134b4c117,Dunkin Donuts,36,"[42.312285, -88.433884]",mqap.33454_DunkinDonuts
172.12,m,442 Orchard St,,Y,N,Antioch,,N,US,Lake,602,N,Y,,--,05:00-22:00,,Y,42.479195,33454002,-88.100815,Y,Y,05:00-22:00,"{u'latLng': {u'lat': 42.479195, u'lng': -88.100815}}",4e1c9e3d-c648-4ae9-8a63-91f89770048d,U1XXX,Dunkin Donuts,847-395-6797,60002,349939,05:00-22:00,EC,IL,05:00-22:00,,05:00-22:00,05:00-22:00,Y,https://www.dunkindonuts.com,05:00-22:00,Y,4e1c9e3d-c648-4ae9-8a63-91f89770048d,Dunkin Donuts,37,"[42.479195, -88.100815]",mqap.33454_DunkinDonuts
172.42,m,11748 75th St,,,N,Kenosha,,N,US,KENOSHA,617,Y,Y,,--,24HOURS,,Y,42.568073,33454002,-87.94931,Y,Y,24HOURS,"{u'latLng': {u'lat': 42.568073, u'lng': -87.94931}}",ca0a8792-bd35-4f1c-99f6-b83431c5946c,U1XXX,Dunkin Donuts,262-857-9192,53142,310453,24HOURS,GC,WI,24HOURS,,24HOURS,24HOURS,Y,https://www.dunkindonuts.com,24HOURS,E,ca0a8792-bd35-4f1c-99f6-b83431c5946c,Dunkin Donuts,38,"[42.568073, -87.94931]",mqap.33454_DunkinDonuts
173.22,m,3523 Diamond Dr,,Y,N,McHenry,,N,US,McHenry,602,Y,Y,,--,05:00-21:00,,Y,42.36697,33454002,-88.2683,Y,Y,05:00-21:00,"{u'latLng': {u'lat': 42.36697, u'lng': -88.2683}}",4d87d129-ab2b-423b-a931-34d5e3f44748,U1XXX,Dunkin Donuts,815-385-3820,60051,345894,05:00-21:00,EC,IL,05:00-21:00,,05:00-21:00,05:00-21:00,Y,https://www.dunkindonuts.com,05:00-21:00,Y,4d87d129-ab2b-423b-a931-34d5e3f44748,Dunkin Donuts,39,"[42.36697, -88.2683]",mqap.33454_DunkinDonuts
173.83,m,4502 W Elm St,,Y,N,Mchenry,,Y,US,MCHENRY,602,Y,Y,,815-363-6939,24HOURS,,Y,42.347508,33454002,-88.285311,Y,Y,24HOURS,"{u'latLng': {u'lat': 42.347508, u'lng': -88.285311}}",3e31cbf5-17ff-4ef0-96e6-4e8fd63d0669,U1XXX,Dunkin Donuts,815-363-1974,60050,337724,24HOURS,FS,IL,24HOURS,,24HOURS,24HOURS,Y,https://www.dunkindonuts.com,24HOURS,Y,3e31cbf5-17ff-4ef0-96e6-4e8fd63d0669,Dunkin Donuts,40,"[42.347508, -88.285311]",mqap.33454_DunkinDonuts
173.85,m,475 E. Route 173,Wal*Mart,Y,N,Antioch,WLM,N,US,Lake,602,N,Y,,847-919-3889,05:00-22:00,,Y,42.468409,33454002,-88.064862,Y,Y,05:00-22:00,"{u'latLng': {u'lat': 42.468409, u'lng': -88.064862}}",ba093ddd-9b8a-4f10-a20e-edc425cd7dc2,U1XXX,Dunkin Donuts,847-838-1560,60002,343291,05:00-22:00,MM,IL,06:00-22:00,,05:00-22:00,05:00-22:00,Y,https://www.dunkindonuts.com,05:00-22:00,N,ba093ddd-9b8a-4f10-a20e-edc425cd7dc2,Dunkin Donuts,41,"[42.468409, -88.064862]",mqap.33454_DunkinDonuts
174.07,m,5 E. Grand Ave,,Y,N,Fox Lake,,N,US,Lake,602,N,Y,,--,05:00-20:00,,Y,42.396793,33454002,-88.183507,Y,Y,05:00-20:00,"{u'latLng': {u'lat': 42.396793, u'lng': -88.183507}}",cb7befcd-3dea-479f-81db-6bfb8d078e8a,U1XXX,Dunkin Donuts,847-587-0645,60020,308270,05:00-20:00,IN,IL,06:00-20:00,,05:00-20:00,05:00-20:00,Y,https://www.dunkindonuts.com,05:00-20:00,Y,cb7befcd-3dea-479f-81db-6bfb8d078e8a,Dunkin Donuts,42,"[42.396793, -88.183507]",mqap.33454_DunkinDonuts
175.68,m,4028 75th St,,,N,Kenosha,,N,US,Kenosha,617,Y,Y,,--,05:00-22:00,,Y,42.566397,33454002,-87.856828,Y,Y,05:00-22:00,"{u'latLng': {u'lat': 42.566397, u'lng': -87.856828}}",ebebeafc-89ce-4cbe-8a05-4701cfdfce8f,U1XXX,Dunkin Donuts,262-697-9070,53142,350367,05:00-22:00,FS,WI,05:00-22:00,,05:00-22:00,05:00-22:00,Y,https://www.dunkindonuts.com,05:00-22:00,Y,ebebeafc-89ce-4cbe-8a05-4701cfdfce8f,Dunkin Donuts,43,"[42.566397, -87.856828]",mqap.33454_DunkinDonuts
